"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality","fname_code"
"4661",20560,13693,"Guillermo Patterson",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifteenth Ordinary Session of the Assembly",NA,NA,NA,NA,NA,NA,NA,"",NA
"4662",20561,13694,"Karel Heller",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Thirteenth Ordinary Session of the Assembly",NA,NA,NA,NA,NA,NA,NA,"",NA
"4663",20562,13695,"Kamil Krofta",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventh Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4664",20563,13695,"Kamil Krofta",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixteenth Ordinary Session of the Assembly, part two",1876,NA,NA,NA,NA,NA,NA,"",NA
"4665",20564,13695,"Kamil Krofta",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventeenth Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4666",20565,13695,"Kamil Krofta",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly Convened for the Purpose of Considering the Request of the Kingdom of Egypt for Admission to the League of Nations",1876,NA,NA,NA,NA,NA,NA,"",NA
"4667",20566,13695,"Kamil Krofta",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighteenth Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4668",20567,13695,"Kamil Krofta",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Nineteenth Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4669",20568,13696,"Jan Masaryk",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifth Ordinary Session of the Assembly",1886,NA,NA,NA,NA,NA,NA,"",NA
"4670",20569,13697,"Leon Winter",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Twelfth Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4671",20570,13697,"Leon Winter",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Thirteenth Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4672",20571,13698,"Hans Jacob Hansen",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Nineteenth Ordinary Session of the Assembly",NA,NA,NA,NA,NA,NA,NA,"",NA
"4673",20572,13699,"Jens Andreas Hansen",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly Convened in Virtue of Article 15 of the Covenant at the Request of the Chinese Government",NA,NA,NA,NA,NA,NA,NA,"",NA
"4674",20573,13700,"Otto Carl Mohr",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Nineteenth Ordinary Session of the Assembly",1883,NA,NA,NA,NA,NA,NA,"",NA
"4675",20574,13701,"Peter Rochegune Munch",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: First Ordinary Session of the Assembly",1870,NA,NA,NA,NA,NA,NA,"",NA
