"","Count"
"1920",68
"1921",85
"1922",98
"1923",107
"1924",112
"1925",107
"1926",122
"1927",136
"1928",137
"1929",144
"1930",159
"1931",175
"1932",165
"1933",159
"1934",145
"1935",136
"1936",137
"1937",146
"1938",140
"1939",130
"1940",97
"1941",41
"1942",33
"1943",31
"1944",31
"1945",32
"1946",29
"1947",5
