"","Count"
"1920",140
"1921",178
"1922",194
"1923",199
"1924",214
"1925",224
"1926",233
"1927",269
"1928",290
"1929",302
"1930",323
"1931",346
"1932",299
"1933",277
"1934",268
"1935",273
"1936",264
"1937",294
"1938",292
"1939",229
"1940",163
"1941",50
"1942",44
"1943",42
"1944",44
"1945",46
"1946",55
"1947",9
