1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948
" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";" ""Chile"", (withdrew 14 May 1938)";;;;;;;;;;;
" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"",";" ""Republic of China"","
" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"",";" ""Colombia"","
" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"",";" ""Cuba"","
" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";" ""Czechoslovakia"", (15 March 1939 occupied by Germany)[4]";;;;;;;;;
" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"",";" ""Denmark"","
" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";" ""El Salvador"", (withdrew 11 August 1937)";;;;;;;;;;;
" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)";" ""France"", (Vichy France withdrew 18 April 1941; withdrawal not recognised by Free French forces)"
" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"",";" ""Greece"","
" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";" ""Guatemala"", (withdrew 26 May 1936)";;;;;;;;;;;;
