"pname","1919-01-01","1920-01-01","1921-01-01","1922-01-01","1923-01-01","1924-01-01","1925-01-01","1926-01-01","1927-01-01","1928-01-01","1929-01-01","1930-01-01","1931-01-01","1932-01-01","1933-01-01","1934-01-01","1935-01-01","1936-01-01","1937-01-01","1938-01-01","1939-01-01","1940-01-01","1941-01-01","1942-01-01","1943-01-01","1944-01-01","1945-01-01","1946-01-01","1947-01-01"
"Amy Hogg","","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"André Aubier","","","","","","7","","","","","","","","","","","","","","","","","","","","","","",""
"André D. Toledano","8","8","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"André Ganem","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"André Hesse","","","","","","","","","","","0.5","0.5","","","","","","","","","","","","","","","","",""
"André Jean Philip","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","",""
"André René Parready","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","",""
"André Sayous","","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Andrée Marie Colin","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","",""
"Andrée Moreteau","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","",""
"Angel Maria Cespedes","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Anke Eliza Roosenburg","","","","","","","","","6","","","","","","","","","","","","","","","","","","","",""
"Anna Blumenfeld","","","","","","","","","","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","",""
"Anna de Torok","","","","","","","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","","",""
"Anna Nowak","","","","","","","","","","","","","","","8","","","","","","","","","","","","","",""
"Anna Teresa Paradas","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","","","",""
"Annie Mildred Mary Atkinson","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","","","","","","","","",""
"Annikki Paasikivi","","","","","","","","","","","","","","","","8","","","","","","","","","","","","",""
"Anthony Buxton","","","","","","","","","","","","","9","","","","","","","","","","","","","","","",""
"Antoine Charles Pierre Denis","","8","8","8","8","8","8","8","","","","","","8","","","","","","","","","","","","","","",""
"Antoine Favre","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Antoine Vellemann","","","","","7","","7","7","7","7","7","","","7","","","","","7","","","","","","","","","",""
"Antoinette Viguie","","","","","","","","","","","","6","6","6","6","6","6","6","","","","","","","","","","",""
"Antonii Nicoloff","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Antonio Maria  Godinho","","","","","","","","","","","","","","8","","","","","","","","","","","","","","",""
"Anwar Iqbal Qureshi","","","","","","","","","","","","","","","","","","","","","8","","","","","","","",""
"Ap. Apostolopoulos","","","","","","","","","","","","","","8","","","","","","","","","","","","","","",""
"Armando Maribona","","","","","","","","8","","","","","","","","","","","","","","","","","","","","",""
"Armando Mencia","","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","","","",""
"Armando Servin","","","","","","","","","","","","","","","","","","","","","","","","","","8","","",""
"Arnold Cartwell Smith","","","","","","","","","","","","","","","","","","","","8","","","","","","","","",""
"Arnold Herman van Ittersum","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","",""
"Arnolds Skrebers","","","","","","","","","","","","","","","","","","8","","","","","","","","","","",""
"Arthur Bullard","","","","","","","","8","8","","","","","","","","","","","","","","","","","","","",""
"Arthur Elliott Felkin","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8",""
"Arthur Henry Stock Butterworth","","","","7","7","7","7","7","","","","","","7","","","","","7","","","","","","","","","7",""
"Arthur Sweetser","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","","","","",""
"Arthur Szyk","","","","","","","","","","","","","","","","","","","","8","","","","","","","","",""
"Artur Maciel","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Atam Anand Sharar Dewan","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Augustin Marie Camille Jordan","","","","","","","","","","","","","","","","","","7","7","","","","","","","","","",""
"Aurélien  Digeon","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","",""
"Aurobindo Bose","","","","","","","","","","","","","","","","","","","","","8","","","","","","","",""
"Avit Samuel Maillet","","","","7","7","7","7","7","7","7","7","7","","","","","","","","","","","","","","","","",""
"Awni Khalidy","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Axel Serup","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Barbara J. Atkins","","","","","","","","","6","","","","","","","","","","","","","","","","","","","",""
"Beatrice Eleanor Allpress","","","7","7","7","","7","7","","7","","7","","","","","","","","","","","","","","","","",""
"Béatrice Olga Elisabeth Zukotynska","","","","","","","","","","","","","","8","","","","","","","","","","","","","","",""
"Bela Zolnai","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Benedetto Gentile","","","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","",""
"Bengt Helger","","","","","","","","","","","","","","","","","","","","8","8","","","","","","","",""
"Bergadini","","","","","","","","","","","8","","","","","","","","","","","","","","","","","",""
"Berit Gulliksen","","","","","","","","","","","","","","","8","","","","","","","","","","","","","",""
"Bernard Birch","","","","","","","6","6","","","","","","","","","","","","","","","","","","","","",""
"Berta  Hamilton","","","","","","","","","","","","8","","","","","","","","","","","","","","","","",""
"Berthe de Lalieux de la Rocq","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Bertil Arne Renborg","","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","9","9","9",""
"Bertil Gotthard Ohlin","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Bhagirath Nath Kaul","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","","","","",""
"Birgit Nissen","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Björn Thordarsson","","","","","","","","","","8","","","","","","","","","","","","","","","","","","",""
"Bodil Begtrup","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Boleslaw Celinski","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8",""
"Bolton C.  Waller","","","","","","","","","","","8","","","","","","","","","","","","","","","","","",""
"Branko Lukac","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8, 9","9","9","9","9","9","9","9",""
"Brian Durnin","","","","","","","","","","","","","","","","","","","","8","8","8","","","","","","",""
"Brian Lunn","","","7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brijlal Nehru","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Bruno Brivonesi","","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","",""
"Bryan Fullerton Adams","","","","","","","","","","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","","",""
"C. E.  Mascarenyes ","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"C. E. Engel","","","","","","","","","","","","","","","","","","","","","","","","","","","","7",""
"C.H. Wykes","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.J. Brunskog","","","","","","","","","","","","8","","","","","","","","","","","","","","","","",""
"C.N. Nallamunthu Ammal","","","","","","","","","","8","","","","","","","","","","","","","","","","","","",""
"Calliope Massey","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","",""
"Camille Michelet née Valot","","","","","","","","","","","","","0.5","0.5","","0.5","0.5","0.5","","","","","","","","","","",""
