"pname","1919-01-01","1920-01-01","1921-01-01","1922-01-01","1923-01-01","1924-01-01","1925-01-01","1926-01-01","1927-01-01","1928-01-01","1929-01-01","1930-01-01","1931-01-01","1932-01-01","1933-01-01","1934-01-01","1935-01-01","1936-01-01","1937-01-01","1938-01-01","1939-01-01","1940-01-01","1941-01-01","1942-01-01","1943-01-01","1944-01-01","1945-01-01","1946-01-01","1947-01-01"
"Daniele Vare","","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Denys Noël  Crapon","","","","","","","","","","","","","","","8","8","8","8","8","","","","","","","","","",""
"Dorothy G. Wiehl","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Dr.  Aldo Crosara","","","","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr.  Ignatius Wasserberg","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","",""
"Dr.  Joost Adriaan van Hamel","9","9","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","",""
"Dr.  Michel Ciuca","","","","","","","","","","","8","8","8","8","8","8","","","","8","8","8","","","","","","",""
"Dr.  Raymond Pierre Léon Gautier","","","","","","","","9","9","9","9","9","9, 8","8","8","8","8","8","8","8","8, 9","9","","","","8","8","8",""
"Dr.  Yves Biraud","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"Dr. Alexandre Roubakine","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","","","",""
"Dr. Andrew Colman Gaal","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Dr. Andrija Stampar","","","","","","","","","","","","","","","","","","8","8","","","","","","","","","",""
"Dr. Aristides Aquirre Sayago","","","","","","","8","8","","","","","","","","","","","","","","","","","","","","",""
"Dr. Berislas Borcic","","","","","","","","","","","","8","8","8","8","8","","","","","","","","","","","","",""
"Dr. Charles Leslie Park","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"Dr. Czeslaw Wroczynski","","","","","","","","","","","","","","","","","8","8","","","","","","","","","","",""
"Dr. Edmond Privat","","","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Emil Eugen Roesle","","","","","","","","","8","","","","","","","","","","","","","","","","","","","",""
"Dr. Erik Knaffl-Lenz","","","","","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Etienne Burnet","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","","","","",""
"Dr. Ewald Tomanek","","","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","",""
"Dr. Frank Boudreau","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","",""
"Dr. Frederick Norman White","","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","","","","","","","","","","","","",""
"Dr. G. G.  Kullmann","","","","","","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","",""
"Dr. Genzo Katoh","","","","","","","","","","","8","8","8","8","8","8","","","","","","","","","","","","",""
"Dr. George Jean Claude Forestier","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Dr. Giuseppe Druetti","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Hawkling Yen","","","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Hector Rulot","","","","8","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Hiroshi Kusama","","","","","","","8","8","8","8","8","","","","","","","","","","","","","","","","","",""
"Dr. I. Kuhn","","","","","","8","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Joseph Celarek","","","","","","","","","","","","","8","8","8","8","8","","","","","","","","","","","",""
"Dr. Jur. Thanassis (Athanase) Aghnides","8","8","8","8","8","8","8","8","8","8","8","8, 9","9","9","9","9","9","9","9","9","9, 10","10","10","10","10","10","","",""
"Dr. Knud Stouman","","","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","",""
"Dr. Louis Destouches","","","","","","8","8","8","8","","","","","","","","","","","","","","","","","","","",""
"Dr. Ludwik Witold Rajchman","","","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","","","","","","","",""
"Dr. Melville Douglas Mackenzie","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Dr. Otto Eichel","","","","","","9","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Otto Olsen","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Dr. Paul Gustave Louis Barandon","","","","","","","","","8","8","","","8","8","8","","","","","","","","","","","","","",""
"Dr. Robert Henri Hazemann","","","","","","","","","","","","","","","","","","","8","8","8","","","","","","","",""
"Dr. Shoji Kanai","","","","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sonti Dakshinamurty","","","","","","","","","","","","","","","","","","","","","","8","8","8","","","","",""
"Dr. Thomas J.  Duffield","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Tôyôjirô Kitano","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Tsefang Huang","","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","","",""
"Dr. Tsune Ouchi","","","","","","","","","","","","9","9","9","9","9","9","9","9","9","9","","","","","","","",""
"Dr. Wallace Ruddell Aykroyd","","","","","","","","","","","","","8","8","8","8","8","","","","","","","","","","","",""
"Dr. Walter Fortunat Muehlon","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","",""
"Dr. Wolfgang Krauel","","","","","","","","","","","","","","8","","","","","","","","","","","","","","",""
"Edith Jean McDougall","","","","","","","","","","","","","","","","","","","","8","","","","","","","","",""
"Edmond Eugéne Butterworth","","","","","","","","","","","","6","6","6","6","6","6","6","6","6","6","6","","","6","6","6","6",""
"Edouard Bigwood","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Edouard Ganzoni","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Edouard Rodolphe de Haller","","","","","","","","8","8","8","8","8","8","8","8","8","8, 9","9","9","9","9","9","","","","","","",""
"Edward Mayor Hastings Lloyd","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Edwige Sophie Thérèse Adèle de Romer","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Edwin  Haward","","","","","","","","","","","","","","","","","","","","","8","","","","","","","",""
"Egon Ranshofen-Wertheimer","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
