"pname","1919-01-01","1920-01-01","1921-01-01","1922-01-01","1923-01-01","1924-01-01","1925-01-01","1926-01-01","1927-01-01","1928-01-01","1929-01-01","1930-01-01","1931-01-01","1932-01-01","1933-01-01","1934-01-01","1935-01-01","1936-01-01","1937-01-01","1938-01-01","1939-01-01","1940-01-01","1941-01-01","1942-01-01","1943-01-01","1944-01-01","1945-01-01","1946-01-01","1947-01-01"
"Louis Joxe","","","","","","","","","","","","","","","9","","","","","","","","","","","","","",""
"Louis Rasminsky","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","",""
"Louis Varlez","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luca Pietromarchi","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","",""
"Ludwig Thorwald de Krabbe","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","8","8","8","8","8","","","","","","","",""
"Luigi Chiappelli","","","","","","","","","","","","","8","8","8","","","","","","","","","","","","","",""
"Luigi Villari","","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Luis Bolin","","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"M. F. W. Joseph","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","","",""
"Manley Hudson","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","",""
"Manual Juan Arocha","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","",""
"Manuel Aguirre de Cárcer","","","","","","","","","","9","9","9","","","","","","","","","","","","","","","","",""
"Manuel Perez-Guerrero","","","","","","","","","","","","","","","","","","","8","8","8","8","","","","","","",""
"Marc August Nolda","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Marc Veillet-Lavallee","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Marcel Guillaume Jacques Wiser","","","","","","","","","","","","","","","","","","","","","","8","8","","","","","",""
"Marcel Hoden","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Marcello Roddolo","","","","","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","",""
"Maria Elisabeth Ottilia de Steller","","","","","","","","","","","","","","","","","8","8","8","8","8","8","","","","","","",""
"Marquis Emanuele Schinina","","","","","","","","","8","8","8","8","8","8","","","","","","","","","","","","","","",""
"Massimo Pantaleoni","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Mathilde Dal Santo","","8","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Maui Sanasan","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Maurice Edward Marie Baumont","","","","","","","","","8","8","8","8","8","","","","","","","","","","","","","","","",""
"Maurice Grivel","","","","","","","","","","","","","","","","","9","9","9","9","","","","","","","","",""
"Max Beer","","","","","","","","","8","8","8","8","","","","","","","","","","","","","","","","",""
"Max Habicht","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Mehemed Djevad","","","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Michael Barkway","","","","","","","","","","","","","","","","","","","8","8","","","","","","","","",""
"Miroslav Antonin Kriz","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","","","","","",""
"Mitchell Benedict Carroll","","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","","",""
"Morikatsu Inagaki","","","","","","","","","","","","8","8","","","","","8","8","","","","","","","","","",""
"Nancy Williams","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Narciso de Freire de Anrade","","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","","",""
"Nicolas Henri Lahovary","","","","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Noel Haviland Field","","","","","","","","","","","","","","","","","","8","8","8","8","8","","","","","","",""
"Nokhem/Nahim Sloutzki","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Octave Auguste Arsandaux","","9","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","",""
"Olavi Tapio Voionmaa","","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","","","",""
"Orie Benjamin Gerig","","","","","","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","",""
"Oscar Bertholin","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Oscar Uno Konrad Thorsing","","","","","","8","","","","","","","","","","","","","","","","","","","","","","",""
"Pablo de Azcárate","","","","8","8","8","8","8","8","8","8","8, 9","9","9","9","","","","","","","","","","","","","",""
"Paul Gilles Léon Deperon","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"Paul Joseph Mantoux","","9","9","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","",""
"Per Jacobsson","","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","","","",""
"Percy Gill Watterson","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6",""
"Peter Christian Schou","","","","","","","","","","","","","","","","","","9","9","","","","","","","","","",""
"Peter Martin Anker","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"Peter René Oscar Bally","","","","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Peter Welps","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"Philip John Noel-Baker","8","8","8","8","","","","","","","","","","","8","","","","","","","","","","","","","",""
"Pierre Achille Louis Eugène Quesnay","","","","","8","8","8","8","","","","","","","","","","","","","","","","","","","","",""
"Pierre Comert","9","9","9","9","9","9","9","9","9","9","9","9","9","9","","","","","","","","","","","","","","",""
"Pierre Henry Watier","","","","","","","","","","","","","","","","","","","9","","","","","","","","","",""
"Pierre Marc Siraud","","","","","","","","","","","","","","","","","8","8","8","8","8","8","","","","","","",""
"Pierre Waelbroeck-Rolin","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pietro Angelo Stoppani","","","","","8","8","8","8","8","8","8, 9","9","9","9","9","9","9","9","9","9","9, 8","","","","","","","",""
"Prof. Bernardo B. Attolico","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof. Corrado Gini","","","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof. Felice Vinci","","","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof. John Bell Condliffe","","","","","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","",""
"Prof. Louis Tardy","","","","","","","","","","","","","","","","","","","","8","8","","","","","","","",""
"Prof. William E. Rappard","","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","",""
"Purushottama Padmanabha Pillai","","","","","","8","8","8","8","","","","","","","","","","","","","","","","","","","",""
"R.G. Somervell","","","","","","","","","","","","","","","8","8","8","","","","","","","","","","","",""
"Ragnar Nurkse","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"Rahmat Atabeki","","","","","","","","","","","","","","","","","","","","","8","8","","","","","","",""
"Rasmus Ingvald Berentson Skylstad","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","","","","",""
"Raymond Newton Kershaw","","","","","","8","8","8","8","8","8","","","","","","","","","","","","","","","","","",""
"Reginald Berkeley","","","","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Renato Prunas","","","","","","","","","","","","","","","","8","8","8","","","","","","","","","","",""
"René  Durel","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"René Marie Frédéric Charron","","","","","","","","","","","","","","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9",""
"Rifat Sadik Tirana","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Robert  Haas","8","8","8","8","8","8","8","8","8, 9","9","9","9","9","9","9","9","9","","","","","","","","","","","",""
"Robert André Felix Bach","","","","","","","","","","","","","","","","","","","8","8","8","8","","","","","","",""
"Ross Tolmie","","","","","","","","","","","","8","","","","","","","","","","","","","","","","",""
"Royall Tyler","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","","","",""
"S. B. McElderry","","","","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sadâmand Mangest Dhume","","","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","","",""
"Salvador Madariga","","","","","","","","","9","","","","","","","","","","","","","","","","","","","",""
"Saofong Wu","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Sarah Wambaugh","","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Setsuichi Aoki","","","","","","","","","","","","","","8","8","","","","","","","","","","","","","",""
"Shiko Kusama","","","","","","","8","8","","","","","","","","","","","","","","","","","","","","",""
"Sigismond Deutschman","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","",""
"Sir Herbert Brown Ames","9","9","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","",""
"Solon George Xenakis","","","","","","","","","","","","","","","","","","","","8","8","8","","","","","","",""
"Stanislas Adolphe Neyman","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Stanislawa Adamowicz","","","8","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Stanley Thomas Cross","","","","","","","","","","","","","","","","","8","8","8","8","","","","","","","","",""
"T. Lodge","","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tetsuro Furukaki","","","","","","8","8","8","8","8","8","","","","","","","","","","","","","","","","","",""
"Tevfik Kerim Erim","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"Thomas Arthur Hiam","","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","","",""
"Thomas Frank Johnson","","","","","","","","","","","","9","9","","","","","","","","","","","","","","","",""
"Tjalling Koopmans","","","","","","","","","","","","","","","","","","","","8","8","8","","","","","","",""
"Tsan-Quo Chou","","","","","","","","","","","","","","","","","","","","8","8","","","","","","","",""
"Ugo Theodoli","","","","","","","","","","","8","8","8","8","8","8","8","8","8","","","","","","","","","",""
"Valentin Joseph Stencek","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","9","9","9","9","9","9","9","9","9","9","9"
"Vangala Shiva Ram","","","","","","","","","","","","","","","","","","8","8","","","","","","","","","",""
"Vernon Bartlett","","","","9","9","9","9","9","9","9","9","9","9","9","","","","","","","","","","","","","","",""
"Viktorias Kamantanskas","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Vito Catastini","","","8","8","8","8","8, 9","9","9","9","9","9","9","9","9","9","9, 8","8","8","","","","","","","","","",""
"Vitold Baroni","","","","","","","8","8","","","","","","","","","","","","","","","","","","","","",""
"Vladeta D. Voukitchevitch","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Vladimir Dimitrievitch Pastuhov","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Vladimir Miselj","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Vladimir Slavik","","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","","","",""
"Werner Karl August Günther von Schmieden","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Wilhelm Friedrich Schubert","","","","","","","8","8","8","8","8","8","","","","","","","","","","","","","","","","",""
"Wilhelm von Bayer","","","","","6","","","","","","","","","","","","","","","","","","","","","","","",""
"Willem Herman Johan van Asch van Wijck","","","","","","","6","6","6","6, 9","9","9, 8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"William Harpham","","","","","","","","","","","","","","","","","","","8","8","8","","","","","","","",""
"William Martin","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"William Martin Hill","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"William O'Sullivan-Molony","","","8","8","","","8","8","8","8","8","8","8","","","","","","","","","","","","","","","",""
"William Stephen Sanders","","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wladimiar Karakacheff","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Yin Fun Cheng","","","","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","",""
"Yotaro Sugimura","","","","","","","","","9","9","9","9","9","9","9","","","","","","","","","","","","","",""
