"","x"
"1","First Division"
"2","President"
"3","Third Division"
"4","Second Division"
"5","Expert"
"6","Delegate"
"7","Director"
"8","League of Nations staff"
"9","Secretariat"
"10","Correspondent"
"11","Secretary"
"12","French Précis Writer"
"13","Clerk"
"14","Member"
"15","Temporary Collaborator"
"16","Interpreter"
"17","Officer"
"18","Consultant"
"19","Vice President"
"20","Advisor"
"21","Honorary Correspondent"
"22","Classeur"
