"","name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"887","Henry Georges William de Geymuller",3,0,3,1,34,"male","french"
"888","Clovis Geynes",9,0,9,15,40,"male","swiss"
"889","Clélia Ghezzi",6.06666666666667,1.75119007154183,6,236,20,"female","italian"
"890","Louis Victor Ghisletti",5.5,0.707106781186548,5.5,107,25,"male","swiss"
"891","Margaret Lord",6,0,6,78,27,"female","british"
"892","Sudhindra Nath Ghose",6,0,6,116,32,"male","indian"
"893","Milo Sargent Gibbs",6,0,6,33,26,"male","us-american"
"894","Karl Sigurd Torsten Gihl",4,0,4,20,35,"male","swedish"
"895","Elsie Primer Gilbert",8,0,8,9,21,"female","english"
"896","William  Giles",5,0,5,1,NA,"male","english"
"897","John Guthrie Gill",9,0,9,12,43,"male","english"
"898","Louise Dominique Gillet",3,0,3,7,22,"female","french"
"899","Paul Gilliand",7,0,7,1,NA,"male","unknown"
"900","Margaret Mary Heath",6,0,6,113,28,"female","british"
"901","Charles Gillieron",7,0,7,106,22,"male","swiss"
"902","Maria Theodora van Gils",6,0,6,160,30,"female","german"
"903","Robert Gimpert",6,0,6,35,22,"male","swiss"
"904","Alice  Girard",6,0,6,1,17,"female","swiss"
"905","Claude Girard",6,0,6,2,21,"male","swiss"
"906","Gaston Pierre Girard",7,0,7,1,21,"male","swiss"
"907","Mariette Girod-Poncioni",7.66666666666667,1.15470053837925,7,125,25,"female","french"
"908","Louise Gisiger née Gaste",8,0,8,1923,36,"female","swiss"
"909","Hélène  Giusti",7,0,7,1,15,"female","italian"
"910","Princess Maria Cristina Giustiniani-Bandini",4,0,4,67,61,"female","italian"
"911","Arne  Giverholt",6,0,6,98,43,"male","norwegian"
"912","Blanche  Glaser",7,0,7,1,16,"female","austrian"
"913","Margaret Rebecca Hoon",6,0,6,37,53,"female","british"
"914","Jeanne Glauser",7,0,7,168,15,"female","swiss"
"915","Elizabeth Lindsay King",6,0,6,1,24,"female","british"
"916","Marion Heasler",6,0,6,115,21,"female","british"
"917","Mary Elizabeth Legge",6,0,6,191,50,"female","british"
"918","May Louise Jones",7,1.4142135623731,7,48,40,"female","british"
