"Transit Conference"
"Translation"
"Intellectual Cooperation and International Bureaux Section"
"Advisory and Technical Committee for Communications and Transit of the League of Nations"
"Information Section"
"Under-Secretary-General's Office"
"Social Questions and Opium Traffic Section"
"Deputy Secretary-General's Office"
"Secretary-General's Office"
"League of Nations"
"Economic and Financial Section"
"Auxiliary Staff"
"Printing & Publishing Department"
"Library"
"Financial Section & Economic Intelligence Service"
"United Nations Information Board"
"Political Section"
"London Office"
"Communications and Transit Section"
"Department II"
"Pool"
"Health Section"
"Disarmament Section"
"Administrative and Minorities Section"
"Department I (Department of General Affairs)"
"Department III"
"Russian Refugees Section"
"Internal Control"
"Internal Administration"
"Liaison with China"
"Bombay Office"
"Labour Section"
"Under Secretaries-Generals' in charge of Political Section Office"
"Saar Plebiscite Commission"
"Central Section"
"Legal Section"
"Under Secretary-Generals' in charge International Bureaux and Intellectual-Co-operation Section Office"
"Mandates Section"
"High Commission for Refugees"
"Refugee Section"
"Personnel Office"
"Précis-Writing Department"
"Under Secretary-Generals' in charge of Internal Administration Office"
"Scientific Research Division"
"General Assemblies Staff"
"Brazil Office"
"Radiodiffusion"
"Distribution of Documents"
"Rome Office"
"Central Opium Board"
"Tokio Office"
"Economic Bureau"
"High Commissioner's Office"
"Reparations Commission"
"Treasury"
"Commission of the Enquiry into Traffic of Women & Children in the East"
"Minorities Section"
"Economic Relations Section"
"China Liaison Committee"
"Paris Office"
"Registry"
"Washington Labour Conference"
"Duplicating & Multigraph Service"
"Technical Service"
"Publications Service"
"Economic Conference"
"Conference on Counterfeiting Currency"
"Council Conference"
"Stenographic Services"
"International Financial Conference"
"Archives"
"Labour Conference At Washington"
"International Law Conference"
"Disarmement Conference"
"Counsel"
"Conference on Communications and Transit"
"Conference for the Codification of International Law"
"Unspecified"
"Berlin Office"
"Transit Conference at Barcelona"
"Board of Liquidation"
"Council"
"United Nations"
"Staff Pensions Fund"
"Conference on the Control of International Trade"
"Conference for a Customs Truce"
"International Conference for the Unification of Laws on Bills of Exchange, Promissary Notes, and Checks"
"Nyon Conference"
"Commercial Conventions Conference"
"Opium Conference"
"Draughting Section"
"Military, Naval & Air Commission Assembly"
"International Labour Organisation Conference "
"Barcelona Conference"
"Conference on the Abolition of Prohibitions and Restrictions on Imports and Exports"
"European Conference on Road Traffic"
"Brussels Conference"
"Communication/Transit Services"
"Conference on the Control of the International Trade in Arms, Munitions & Implements of War"
"International Passport Conference"
"Budapest Office"
"Typing"
"Transit Section"
"The Hague Conference"
"Indexing Service"
"Establishment Office"
"Far East Commission of Enquiry (Manchurian Commission)"
"Restaurant"
"Building Committee"
"Translation Section"
"Security Conference"
"Non-Intervention Committee"
"Eastern Bureau of the Health Section in Singapore"
"Secreteriat Registry"
