"name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"Dr. Aristides Aquirre Sayago",2,0,2,13,43,"male","chilean"
"Dr. Tsefang Huang",2,0,2,36,31,"male","chinese"
"Caridad Capaz",6,0,6,267,22,"female","cuban"
"Dr. Ewald Tomanek",2,0,2,127,40,"male","czech"
"Elie Jules Antoine Grivel",9,0,9,55,33,"male","swiss"
"Emilie Beránková",6,0,6,2,28,"female","czech"
"Guiseppe Martorana",6,0,6,1,31,"male","italian"
"Jamila Bergmannova",6,0,6,25,27,"female","czech"
"Milada Kralova",6,0,6,1,38,"female","czech"
"Marcel Grivel",7,0,7,14,24,"male","swiss"
"Maurice Grivel",1,0,1,31,NA,"male","swiss"
"Henri Grobet",9,0,9,1,36,"male","swiss"
"André Grobety",9,0,9,110,31,"male","swiss"
"Marguerite Grodwohl",6.5,0.707106781186548,6.5,193,15,"female","swiss"
"Johannes Groenewold",7,0,7,1,21,"male","dutch"
"Olga Berankova",5,1.4142135623731,5,74,25,"female","czech"
"Zdena Jelinkova",6,0,6,NA,NA,"female","czech"
"James Grosclaude",9,0,9,1,47,"male","swiss"
"Claude Grosgurin",6,0,6,1,24,"male","swiss"
"Dorrit Ree",6,0,6,9,29,"female","dane"
"Charles Grouse",6,0,6,1,43,"male","english"
"Ernest Groux",9,0,9,1,45,"male","swiss"
"Maurice  Gruner",8,0,8,1,23,"male","swiss"
"Theophile Gschwind",9,0,9,1,NA,"male","swiss"
"Paul Guerie",6,0,6,1,38,"male","french"
"Gabrielle Juncker-Rohde",4,2.82842712474619,4,208,24,"female","dane"
"Georges Guerin",6,0,6,121,48,"male","french"
"Charles Gugelmeier",5,0,5,1,41,"male","german"
"Charles Guglielmetti",8,0,8,51,36,"male","swiss"
"Germaine  Guibentif-Privat",6,0,6,1,26,"female","swiss"
"Jean-Pierre Guignard",7,0,7,1,23,"male","swiss"
"Emile Guignet",9,0,9,151,32,"male","swiss"
"Signe Johanne Andersen",5.2,1.6431676725155,6,70,24,"female","dane"
"Laurence Ramaker",7,1.4142135623731,7,15,25,"female","dutch"
"Maria Zwantje Neeltje Witteveen",5.5,2.12132034355964,5.5,115,27,"female","dutch"
"Netty de Vink",6,0,6,1,NA,"female","dutch"
"A. J. Goldberry",3,0,3,NA,NA,"male","english"
"Claude William Guilleraud",3,0,3,46,31,"male","english"
"Jorge Guillen",3,0,3,1,NA,"male","unknown"
"A.M. Roach",9,0,9,1,NA,"female","english"
"Ada Readhead",9,0,9,18,NA,"female","english"
"Agnes Driscoll",6,0,6,5,NA,"female","english"
"Agnes Henderson Meldrum née Archibald",6,0,6,90,26,"female","english"
"Berthe Guillermin",7,0,7,1,42,"female","swiss"
"Georges Guillermin",6,0,6,205,36,"male","swiss"
"Louisa Henriette Guillot",7,0,7,32,22,"female","swiss"
"Robert Louis Guillotel",3.6,1.34164078649987,3,34,23,"male","french"
"Vincent Guilloton",3,0,3,6,26,"male","french"
"Jacques André William Guilloux",3,0,3,1,34,"male","french"
"Jean William Guiton",6,0,6,1,19,"male","french"
"Alois Gutknecht",7,0,7,1,NA,"male","swiss"
"Aileen Mary Roberts",6,0,6,78,27,"female","english"
"Airlie Margaret Isabel Moss",6,0,6,2,40,"female","english"
"Albert Stephen Guyer",5,0,5,5,25,"male","english"
"Robert Gyger",9,0,9,109,32,"male","swiss"
"Blanche Lydie Gygi",8,0,8,1,37,"female","swiss"
"Carlile Aylmer MacCartney",3,0,3,2,32,"male","english"
"Elaine MacDonald",5.5,1,6,2,43,"female","english"
"Aislice Colin Pharall",8,0,8,1,30,"female","english"
"Elwyn Margaret MacFarlane née Steedman",7.5,1,8,-1,32,"female","english"
"Constantine Francis MacGuire",4.66666666666667,2.3094010767585,6,194,33,"male","irish"
"Alexandra Solar",6,0,6,24,34,"female","english"
"Mr. Miodrag Ibrovak",2,0,2,1,NA,"male","yugoslav"
"Alexandre Veitch",5,0,5,20,28,"male","english"
"Mr. Masao Ichimata",7,0,7,63,23,"male","unknown"
"Maria Juliette Macheret",8,0,8,178,21,"female","swiss"
"Monique Macheret",7.5,0.707106781186548,7.5,113,20,"female","swiss"
"Mackinder",7,0,7,1,NA,"female","english"
"Ian Maclean",5,0,5,2,29,"male","english"
"Alice Mary Vinter",6,0,6,122,37,"female","english"
"Irene Alice Macnab",6.33333333333333,0.577350269189626,6,201,40,"female","english"
"Paul Marcel Léonard Macullo",7,0,7,1,19,"male","swiss"
"William David Macafee",3,0,3,136,39,"male","english"
"Alphonse Descombes",3,0,3,1,44,"male","english"
"Amy Buck",6,0,6,1,22,"female","english"
"Emily Margaret McDonald",4.2,1.30384048104053,4,-6,33,"female","english"
"Amy Luxton Bridgman",6,0,6,1,49,"female","english"
"Frank Mceachran",3,0,3,1,29,"male","english"
"Mary Agnes Craig Mcgeachy",5,1.4142135623731,5,145,27,"female","canadian"
"Lena McGowan",7,0,7,15,NA,"female","unknown"
"Angela Viveash",8,0,8,1,NA,"female","english"
"Annie Kathleen Webb",6,0,6,11,36,"female","english"
"Maisie Mckay",8,0,8,1,NA,"female","english"
"Kathleen Jane Mckinn",3,0,3,1,46,"female","english"
"Olive Rattray Mclaren",8,0,8,2,26,"female","english"
"Annie Smith",6,0,6,23,25,"female","english"
"Annie Spencer Dowdeswell",6,0,6,8,NA,"female","english"
"Arthur Henry Budden",6,0,6,74,49,"male","english"
"Grace Mcnicol",6,0,6,3,37,"female","english"
"Elisa Mader",7,0,7,1,17,"female","swiss"
"Paul Joseph Maeder",8,0,8,179,26,"male","swiss"
"Theo Maes",7,0,7,1,18,"male","dutch"
"Emile Magistris",6.66666666666667,1.15470053837925,6,175,26,"male","swiss"
"Georges Magnenat",7.8,1.09544511501033,7,75,19,"male","swiss"
"Jeanne Magnin",9,0,9,1,40,"female","swiss"
"Octave  Magnin",7,0,7,52,20,"male","swiss"
"Magnus",2,0,2,1,NA,"male","unknown"
"Audrie Helen Thomas",6,0,6,1,32,"female","english"
"Louis Maire",3,0,3,4,22,"male","swiss"
"Anna Maitret",6,0,6,48,18,"female","french"
"Emile Léon Majerus",6,0,6,25,27,"male","luxembourgish"
"Paul Makay",3,0,3,178,35,"male","hungarian"
"D.  Hollins",6,0,6,NA,NA,"female","british"
"Barbara Greves",6,0,6,1,NA,"female","english"
"Jean Gordon Home",6,0,6,6,29,"female","british"
"Mallinson",7,0,7,1,NA,"female","english"
"Mary Hilda Mallon",7.66666666666667,0.577350269189626,8,229,29,"female","english"
"Barbara Naomi Abensur",6,0,6,218,20,"female","english"
"Maria-Renata Manassewitsch",6,0,6,4,25,"female","swiss"
"Joseph Louis Gustave Manchon",3,0,3,13,48,"male","french"
"Henri Charles Claude Jacob van der Mandere",3,0,3,220,36,"male","dutch"
"Beatrice Eleanor Allpress",3,0,3,105,37,"female","english"
"André Marius Manini",9,0,9,12,25,"male","swiss"
"Albert Manser",9,0,9,36,38,"male","swiss"
"Della Mary Mansfield",6,0,6,28,27,"female","english"
"Roussia Mansvetoff",8,0,8,139,28,"female","swiss"
"Jean Mantel",9,0,9,48,30,"male","swiss"
"Adolf Manteuffel",8,0,8,36,41,"male","german"
"Edmond Marc",6,0,6,5,28,"male","lithuanian"
"Francoise Marchand",6,0,6,148,24,"male","swiss"
"Jeanne Marchand",6.5,0.707106781186548,6.5,13,26,"female","swiss"
"René Francois  Marchand",9,0,9,5,31,"male","swiss"
"Major Vittorio Marchesi",4,0,4,19,35,"male","italian"
"Ludovica Marchet",6.5,0.707106781186548,6.5,74,22,"female","austrian"
"Berthe Thérèse Maroon",8,0,8,9,25,"female","italian"
"Jacqueline Mathilde Maret",6,0,6,8,24,"female","swiss"
"Beatrice Kate Snell",6,0,6,2,56,"female","english"
"Robert Margot",7,0,7,20,24,"male","swiss"
"A. Margueron",7,0,7,2,NA,"female","unknown"
"Céline  Marini",9,0,9,1,32,"female","swiss"
"Belle Williams",6,0,6,39,24,"female","english"
"Bertha Grace Alexander",6,0,6,-2,34,"female","english"
"Bessie Tapper",6,0,6,3,34,"female","english"
"Hamilton Marr",3,0,3,19,29,"male","english"
"Robert Miller Marshall",6,0,6,19,59,"male","english"
"Betty Lascelles Arne",6,0,6,1,29,"female","english"
"Captain Blennerhassett",3,0,3,2,NA,"male","english"
"Catherine  McMahon Trowell",8,0,8,1,NA,"female","english"
"Catherine Simpson",6,0,6,7,29,"female","english"
"Catherine Turner Mcintyre",6,0,6,-3,31,"female","english"
"Mr. Morikatsu Imagaki",3.33333333333333,2.3094010767585,2,148,31,"male","unknown"
"Cecily Graham Babington",5.6,0.894427190999916,6,323,23,"female","english"
"Renée  Marti",8,1.73205080756888,9,2,48,"female","swiss,swiss, swiss"
"Esther Martin",6.42857142857143,0.534522483824849,6,37,19,"female","swiss"
"Gustave Martin",2,0,2,11,NA,"male","swiss"
"Lucie Isabelle Jeanne Martin-Rose",3,0,3,19,22,"female","french"
"Paul Martin",7,0,7,14,23,"male","swiss"
"Marie Louise Martinaud",9,0,9,8,34,"female","french"
"Alfred Charles Mason",3,0,3,7,40,"male","english"
"Calliope Massey",3,0,3,5,28,"female","english"
"Louis Massignon",3,0,3,39,NA,"male","french"
"Major Maurice Noel Mathenet",4,0,4,117,34,"male","french"
"Theobald Mathew",3,0,3,3,26,"male","english"
"Germain René Mathez",9,0,9,1,22,"male","swiss"
"Cecilia Mary Mathieu née Staunton",7.5,1,8,111,23,"female","french"
"Georges Louis Clement Jean Mathieu",3,0,3,182,28,"male","french"
"Marie-Juditts Mathieux",7,0,7,24,30,"female","unknown"
"Charlotte Louise Bridger",6,0,6,6,39,"female","english"
"Marthe Mathyer",9,0,9,39,26,"female","swiss"
"Iwan Edouard Matile",8,1.4142135623731,8,4,20,"male","swiss"
"Colonel Attilio Matricardi",4,0,4,22,41,"male","italian"
"Marius Mattei",6,0,6,1,53,"male","swiss"
"Marcel Charles Maumary",7,0,7,55,20,"male","swiss"
"Elie Maurer",9,0,9,13,35,"male","swiss"
"Jean Charles Maurer",6,0,6,183,23,"male","swiss"
"Ernestine Maurice",6,0,6,119,27,"female","swiss"
"Julia Beith Gardner",6,0,6,12,26,"female","british"
"Christine Chisholm",6,0,6,1,32,"female","english"
"Gladys Beatrice Mawdesley",6,0,6,11,29,"female","english"
"William David May",5,0,5,1,61,"male","english"
"Suzanne Mayer",6,0,6,8,20,"female","swiss"
"David Macrum Maynard",6,0,6,8,NA,"male","us-american"
"Sergeant Frank Victor Maynard",8,0,8,1,NA,"male","english"
"Aloys Mayor",5,0,5,23,39,"male","swiss"
"Edouard Gustave Mayor",7,0,7,52,21,"male","swiss"
" Genevieve Jeanne Leonie Mayor",4,0,4,227,24,"female","french"
"Henri Mayor",9,0,9,1,36,"male","swiss"
"Christine Hendrie McAulay",6,0,6,1,23,"female","english"
"Christine Mary  Wilkes",8,0,8,42,21,"female","english"
"Louise Aimée Mayras",5.8,0.447213595499958,6,-1,30,"female","french"
"Christine Bertha Margarethe Mayrhofer",5.25,1.5,5,217,36,"female","austrian"
"Marguerite Berthe Catherine Mayrhofer",6,0,6,1,44,"female","austrian"
"Eunice Isabel Melville Meekison",6,0,6,6,38,"female","canadian"
"Clara Slee née Baumann",5.83333333333333,0.389249472080761,6,293,43,"female","english"
"Eva Augusta Maria Ghislaine Mazy",6,0,6,184,34,"female","unknown"
"Colin Tremaine Wright",6,0,6,49,35,"male","english"
"Cornelia Anna van der Meer",7,0,7,1,21,"female","dutch"
"Marianne Meerwein",6,0,6,12,24,"female","swiss"
"D. Megevand",6,0,6,1,NA,"female","unknown"
"Juliette Mehlin",7,0,7,1,29,"female","swiss"
"Jane Meichtry",6,0,6,1,21,"female","swiss"
"Emile Oscar Meier",5,0,5,218,41,"male","swiss"
"Jean Ernest Meier",5,0,5,21,61,"male","swiss"
"Juliette Carmen Meier",7,0,7,47,24,"female","swiss"
"Alphonse Meirlean",9,0,9,1,47,"male","unknown"
"Yulau Tcheng",5,1.4142135623731,5,125,22,"male","chinese"
"Georges Meisterlein",8,1.4142135623731,8,209,NA,"male","swiss,swiss"
"Constance Dorothy Thomas",6,0,6,12,43,"female","english"
"Constance Sylvia Spencer",6,0,6,1,20,"female","english"
"D. M.  Hunt",6,0,6,1,NA,"female","english"
"Daphne Elisabeth Shelmerdine",6,0,6,1,26,"female","english"
"Mrs. Phyllis Warlters van Ittersum, née Horne",6,0,6,310,25,"female","dutch"
"Elisabeth Petronella  Koster",6,0,6,132,35,"female","dutch"
"Charles Francis Darlington",6,0,6,32,25,"male","us-american"
"Paul Meisterlein",7,0,7,12,22,"male","swiss"
"David Lewis Sasieni",5,0,5,3,59,"male","english"
"Mr. Warrar Irvin",3,0,3,NA,NA,"male","us-american"
"Georges Silvain François Charles Kaeckenbeeck",2,0,2,NA,NA,"male","unknown"
"David Storrar Meldrum",6,0,6,101,16,"male","english"
"Louis Darphin",9,0,9,4,57,"male","swiss"
"Dora Hallas Rawcliffe",6,0,6,36,22,"female","english"
"H. de Régny Irving",3,0,3,1,NA,"male","english"
"Claude von Kaenel",7,0,7,1,22,"male","swiss"
"Annie Eggenschwiler, née Ramakers",8,0,8,159,25,"female","dutch,swiss"
"Miss Elsa Irzik",7,0,7,28,27,"female","swiss"
"T. Meras",6,0,6,1,NA,"female","french"
"Waldo Boris Kahan",5,0,5,3,20,"male","british"
"Maud Dauphin",6,0,6,1,NA,"female","french"
"Thérèse Merat-Pedroletti",6.75,0.5,7,25,34,"female","swiss"
"Louis Egger",9,0,9,1,32,"male","swiss"
"Marguerite Mercier",7,0,7,1,16,"female","swiss"
"Doreen Swallow",6,0,6,-5,NA,"female","english"
"Claire David",7,0,7,1,16,"female","french"
"Doris Nellie Allen",8,0,8,28,22,"female","english"
"Ernest Kaiser ",6,0,6,123,24,"male","swiss"
"Paul David",9,0,9,1,23,"male","swiss"
"Fernand  Callendrier",9,0,9,5,33,"male","french"
"Cécile  Merkli",6,0,6,12,26,"female","swiss"
"Mr. Alfred Isch",7,1.4142135623731,6.5,167,21,"male","swiss"
"Ruth Bache-Wiig",6,0,6,41,29,"male","us-american"
"Gilberte Marie Eugénie Callier",3,0,3,-8,28,"female","french"
"Yvonne Marie Francoise Marguerite David",6,0,6,1,31,"female","french"
"Magnus Caluori",9,0,9,1,28,"male","swiss"
"Georges Kaiser",7,0,7,62,23,"male","swiss"
"Dorothea Weger",6,0,6,70,40,"female","english"
"Silvia Anna Marie-Rose Calvi-Fuhrer",6,0,6,63,30,"female","italian,swiss"
"Héléne Kalt",6,0,6,10,24,"female","swiss"
"Ernest Bachmann",8,0,8,-1,49,"male","swiss"
"Alfred Lewis Davies",3,0,3,1,NA,"male","british"
"Marthe Merkli",7,0,7,81,28,"female","swiss"
"Fritz Bachmann",8,0,8,231,35,"male","swiss"
"Charles Kaltenrieder",9,0,9,28,31,"male","swiss"
"Mr. Hans Isch",5,0,5,50,20,"male","swiss"
"Maria Bachmann",9,0,9,132,36,"female","swiss"
"Georges Eggimann",6.66666666666667,0.577350269189626,7,177,20,"male","swiss"
"Georges Kaminker",3,0,3,NA,NA,"male","french"
"Mrs. Yvonne Isch",7,0,7,1,29,"female","swiss"
"Dorothy  Pratt née Trowell",8,0,8,1,NA,"female","english"
"Charles Meroni",7,0,7,1,25,"male","swiss"
"Robert Iseli",9,0,9,1,NA,"male","unknown"
"Louis Daviet",9,0,9,46,18,"male","swiss"
"Hermann Messerli",7,0,7,2,25,"male","swiss"
"Rosa Kamm",9,0,9,22,27,"female","swiss,german"
"Dorothy Isherwood",6,0,6,7,21,"female","english"
"Rolf Bachmann",8,0,8,118,12,"male","swiss"
"Renée Messerli",7,1.4142135623731,7,5,23,"female","swiss"
"Dorothy Bransom  Griffiths",6,0,6,1,33,"female","english"
"Jean Karlen",9,0,9,126,57,"male","swiss"
"Marthe Gabrielle Elise Calvo",6,0,6,144,25,"female","french,italian"
"Dorothy Jacobs",6,0,6,4,NA,"female","english"
"Mr. Jakob Isler",9,0,9,93,21,"male","swiss"
"Doris Eva Karmin ",6,0,6,36,22,"female","swiss"
"Dorothy Annie Goodall",6,0,6,137,24,"female","english"
"Kathleen Mary Goode",6,0,6,90,27,"female","english"
"Dorothy Jane Siebert",6,0,6,130,31,"female","english"
"Renée Marguerite Cambassedes",8,0,8,1,21,"female","swiss"
"Célina Katchatouroff-Lacroix",8,0,8,133,39,"female","swiss"
"Jeanne Eggimann",6.33333333333333,0.577350269189626,6,264,16,"female","swiss"
"Julie Camenzind",9,0,9,18,44,"female","swiss"
"Dorothy Jobson",6,0,6,20,24,"female","english"
"Casimir Antoine Kaufmann",6,0,6,110,34,"male","swiss"
"Dorothy Mary White",4.66666666666667,1.15470053837925,4,104,25,"female","english"
"Yvonne Andrée Eggimann, née Ackermann",6.33333333333333,0.577350269189626,6,283,15,"female","swiss"
"Dorothy May  Sears née Grace",6,0,6,36,29,"female","english"
"Dorothy Rayner",6,0,6,56,25,"female","english"
"Isabelle Metral",6,0,6,1,NA,"female","unknown"
"Dorothy Startin",6,0,6,109,33,"female","english"
"Dr. Frederick Norman White",1.2,0.447213595499958,1,6,48,"male","english"
"Dr. Melville Douglas Mackenzie",2,0,2,147,39,"male","english"
"Dr. Wallace Ruddell Aykroyd",2,0,2,45,32,"male","english"
"Jeanne Margaret Gould",6,0,6,46,20,"female","english"
"Dvara Grail-Power",6,0,6,2,NA,"female","english"
"E. M.  Shapland",8,0,8,1,NA,"female","english"
"Edith Jean McDougall",2,0,2,8,30,"female","english"
"Edith Mary Williamson",6,0,6,155,25,"female","english"
"Edith Moss",8,0,8,1,NA,"female","english"
"Edna Maud Rengert",6,0,6,1,27,"female","english"
"Edward Thomas Rigden",5,0,5,1,26,"male","english"
"Frances Lilian Kaye",6,0,6,1,23,"female","english"
"Eileen Edith Mary Webster née Shanahan",6,0,6,75,28,"female","english"
"Eileen H. L.  Woods",6,0,6,1,NA,"female","english"
"Eileen Steward",8,0,8,1,NA,"female","english"
"Joan McCarogher",6,0,6,1,NA,"female","english"
"Elisabeth Annie Goodman",6,0,6,36,44,"female","english"
"Eichenberger",6,0,6,1,NA,"female","unknown"
"Marguerite Keil",5,1.4142135623731,5,244,29,"female","french"
"Roger Cand",6,0,6,208,22,"male","swiss"
"Henri Elfenbein",6,0,6,1,35,"male","romanian"
"Hilde Metzger",8,0,8,1,19,"female","german"
"Elise Montagu  Kirkpatrick",6,0,6,13,28,"female","english"
"Lina Bachofner",9,0,9,152,38,"female","swiss"
"Elizabeth Annie Cox",8,0,8,72,23,"female","english"
"Elizabeth Brooks",8,0,8,1,NA,"female","english"
"Elizabeth H. Whitehouse",6,0,6,1,NA,"female","english"
"Elizabeth Johnston",6,0,6,1,NA,"female","english"
"Daisy Badel",6,0,6,1,22,"female","swiss"
"Hélène Louise Jaccard",6,0,6,185,26,"female","swiss"
"Elizabeth Rosalie Stack née Smyth",6,0,6,136,23,"female","english"
"Helen Rex Keller",6,0,6,19,44,"female","us-american"
"Maria Cristina Cantilo",4,0,4,24,28,"female","argentinian"
"Henriette Jaccard",9,0,9,7,20,"female","swiss"
"Ellen Blake Geake",6,0,6,13,45,"female","english"
"Elsie A. Smith",6,0,6,1,NA,"female","english"
"Amédée Cantini",7,0,7,151,21,"male","italian"
"Jean-Baptiste Badin",5,0,5,1,53,"male","french"
"Charles Emery",7,0,7,27,21,"male","swiss"
"Rachel Keller",6.33333333333333,0.816496580927726,6,4,32,"female","swiss"
"Pierre André Baechtold",7,0,7,1,24,"male","swiss"
"Elsie Cooper",6,0,6,1,35,"female","english"
"Elsie Dougherty",6,0,6,1,NA,"female","english"
"Doletta Caprin",7,0,7,8,23,"female","italian"
"Jean Marc Jaccard",9,0,9,8,28,"male","swiss"
"Elsie Elizabeth Ware",6,0,6,52,22,"female","english"
"Maria Kelsen",6,0,6,19,23,"female","czech"
"Martha Jaccard",6,0,6,5,24,"female","swiss"
"Margaretha Elisabeth Clara Kempen",7,0,7,59,30,"female","dutch"
"Marcel Jaccoud",9,0,9,24,18,"male","swiss"
"C. E. Engel",3,0,3,1,43,"female","french"
"Johann Wolfgang Metzner",6,0,6,1,20,"male","german"
"Elsie Marjorie Dowsett",6,0,6,62,25,"female","english"
"Elsie Marjory Smith",6,0,6,1,21,"female","english"
"Séraphine Meuwly",9,0,9,5,36,"female","swiss"
"Albert Meyer",7,0,7,1,53,"male","swiss"
"Georges Meyer",4.55555555555556,1.74005108481842,6,1,36,"male","french,french"
"Elsie Ray",7.33333333333333,1.15470053837925,8,1,26,"female","english"
"Jacques Meyer",7,0,7,11,29,"male","swiss"
"Louis Henry Meyer",6,0,6,33,26,"male","swiss"
"Maria Meyer",9,0,9,39,32,"female","swiss"
"Evelyne Meylan",2,0,2,1,NA,"female","swiss"
"Louise Meyll-Vodoz",8,0,8,1,45,"female","swiss"
"Jean Frédéric Meyrat",7,0,7,125,32,"male","swiss"
"Emma Ruth Mcgown",6,0,6,31,29,"female","english"
"Ermyntrude Winifred Watson",6.33333333333333,0.816496580927726,6,146,31,"female","english"
"Giovanni Mezzetti",7,0,7,102,52,"male","italian"
"Georges Michaelis",3,0,3,1,49,"male","german"
"Ernest  Satchwell ",3,0,3,1,46,"male","english"
"Ernest Augustus  Wilson",6,0,6,61,53,"male","english"
"Marthe Michaud",9,0,9,3,38,"female","swiss"
"Emmanuel Michel",3,0,3,16,36,"male","french"
"Jeanne Michel",6.33333333333333,0.577350269189626,6,24,32,"female","french"
"Camille Michelet née Valot",3,0,3,60,27,"female","french"
"Marguerite Michell",6,0,6,1,35,"female","english"
"Nora Irene Michell",6.66666666666667,0.577350269189626,7,131,33,"female","english"
"Daisy Margherita Michels",6,0,6,6,22,"female","italian"
"Violette Louise Michot",9,0,9,1,31,"female","swiss"
"Esther Ivers",6,0,6,1,28,"female","english"
"Kathleen Margaret Midwinter",6,0,6,44,23,"female","english"
"Esther Williams",6,0,6,1,27,"female","english"
"Marie Mielenz",6,0,6,1,38,"female","german"
"Marthe Mieusset",7,0,7,165,16,"female","swiss"
"Louis Emile Miffon",7.5,1,7,61,20,"male","swiss"
"Marthe Miffon",9,0,9,125,30,"female","french"
"Ethel  Milburn",6,0,6,1,33,"female","english"
"F. Milburn",6,0,6,5,NA,"female","english"
"Dragolyoub Miletitch",5.2,0.447213595499958,5,1,42,"male","yugoslav"
"Ida Milhan née Deponti",9,0,9,230,26,"female","swiss"
"George Douglas Millar",2.5,1,3,232,28,"male","english"
"Ethel Hurst Flint",6,0,6,2,49,"female","english"
"Wilfred E. Miller",6,0,6,2,17,"male","english"
"Jean Léon Marie Joseph Louis Millescamps",3,0,3,4,35,"male","french"
"Ethel Jane Crouch",6,0,6,1,42,"female","english"
"Louis Joseph Millet",7.33333333333333,1.36626010212795,7,1,19,"male","french"
"Charles Michel Millioud",9,0,9,201,34,"male","swiss"
"Erwin  Minder",7,0,7,30,24,"male","swiss"
"Percy Croft Minns",2,0,2,1,NA,"male","english"
"Emma Mino",7,0,7,1,16,"female","italian"
"Phyllis Miron",7,1.4142135623731,7,19,25,"female","english"
"Ethel Mallinson",6,0,6,1,NA,"female","english"
"Ethel May Venables",6,0,6,158,35,"female","english"
"Ethel Smith",6,0,6,39,27,"female","english"
"Willy Mohnsam",7,0.707106781186548,7,137,20,"male","swiss"
"Jean Mohr",7,0,7,1,21,"female","swiss"
"Simone Marie Moine",9,0,9,1,21,"female","french"
"Eva Elizabeth Snell",6,0,6,1,33,"female","english"
"Eva Florence Scott",6,0,6,18,19,"female","english"
"Marie Louise Molina",6.85714285714286,1.02710518202619,6,9,23,"female","swiss"
"Eva Jackson",6.66666666666667,1.15470053837925,6,1,28,"female","english"
"Evangelina Anne Forde",6,0,6,11,34,"female","english"
"Emile Molino",9,0,9,1,25,"male","italian"
"Eveline Any Mulch",6,0,6,1,37,"female","english"
"Georges Monnard",9,0,9,30,31,"male","swiss"
"Jean Monnet",1,0,1,44,31,"male","french"
"Lydia Monnet",9,0,9,NA,NA,"female","swiss"
"Alfred Francois Monod",0,0,0,19,42,"male","french"
"Elizabeth Monroe",3.75,1.38873014965883,3,42,26,"female","english"
"Capitaine Francois Monroe",4,0,4,38,34,"male","french"
"Montandon",9,0,9,NA,NA,"female","unknown"
"Eliane Monteanu",3,0,3,281,30,"female","french"
"Marcel Louis Bernard Montgenet",6.4,0.547722557505166,6,57,20,"male","french"
"Herbert Moos",5,0,5,1,NA,"male","unknown"
"Francois Morand",9,0,9,1,30,"male","swiss"
"Evelyn Annie Curry",6,0,6,272,30,"female","english"
"Evelyn Batten",8,0,8,1,NA,"female","english"
"Evelyn Joyce Chivers",6,0,6,9,22,"female","english"
"Evelyne Chynoweth",6,0,6,1,35,"female","english"
"Abel Constant Jules Georges Moreau",6,0,6,17,47,"male","french"
"Georges Morel",6.2,0.447213595499958,6,230,22,"male","swiss"
"M. Morel",7,0,7,1,NA,"male","unknown"
"F. Buckland",6,0,6,1,NA,"female","english"
"Francois Moret",6,0,6,37,28,"male","swiss"
"Lily Moret",9,0,9,22,31,"female","swiss"
"Andrée Moreteau",3,0,3,6,NA,"female","french"
"Maggie Morfey",6,0,6,1,NA,"female","english"
"René Morier",7,0,7,1,23,"male","swiss"
"Louise Morin",6,0,6,1,NA,"female","french"
"Adèle Morisetti",9,0,9,16,34,"female","swiss"
"Juliette Mornand",7,0,7,1,22,"female","french"
"Frédéric A. de Morpurgo",5,0,5,44,34,"male","italian"
"Lionel de Morpurgo",4.5,2.12132034355964,4.5,1,NA,"male","italian"
"F. Geraldine Delf",2,0,2,1,NA,"female","english"
"Marie Rose Mort",9,0,9,2,39,"female","french"
"Bianca Mosca",6,0,6,15,27,"female","italian"
"Alice Moschetti",7,0,7,22,16,"female","french"
"Louis Mosiman",9,0,9,1,30,"male","swiss"
"Faith Johnson",8,0,8,120,22,"female","english"
"Alice Mosimann",9,0,9,90,21,"female","swiss"
"Faith Mary Freeman",6,0,6,1,33,"female","english"
"Flora Gerald Fermor",7,1.4142135623731,7,1,NA,"female","english"
"Flora Helen Norris Walter",6,0,6,1,39,"female","english"
"Florence Louise Poate",6,0,6,1,26,"female","english"
"Florence May Shaw",5.5,0.707106781186548,5.5,161,29,"female","english"
"Alice Marie Mottet",7,0,7,15,19,"female","swiss"
"Florence Shimwell",6,0,6,-8,41,"female","english"
"Charles Louis Mottier",3.5,0.707106781186548,3.5,-1,38,"male","swiss"
"Margaret Stoddart Nelson née Brown",6,0,6,47,25,"female","english"
"Léon Mouvillat",6.5,0.707106781186548,6.5,67,33,"male","french"
"Madeleine Mugny",9,0,9,17,25,"female","swiss"
"Joseph Muhle",9,0,9,2,40,"male","swiss"
"Charles Mulatier",9,0,9,9,36,"male","swiss"
"Frances Ingram Pittendrigh",6,0,6,125,34,"female","english"
"Emma Mullep",8,0,8,12,38,"female","swiss"
"Hélène Mullier",6,0,6,1,16,"female","swiss"
"Louis Constant Edgard Muller",2.88888888888889,0.600925212577332,3,225,36,"male","french,french"
"Marie Muller",7,0,7,15,29,"female","swiss"
"Philippe Muller",7,1.4142135623731,7,160,47,"male","swiss"
"Victor Edward Mulvany",6,0,6,1,23,"male","argentinian"
"Joan Neville",6,0,6,1,31,"female","english"
"Louis H. J.  Munier",6,0,6,176,48,"male","swiss"
"G. G.  Cook",6,0,6,15,NA,"female","english"
"George Anthony Mostyn",3,0,3,1,27,"male","english"
"George Rayner Ellis",3,0,3,3,27,"male","english"
"George Robert Read",6,0,6,118,29,"male","english"
"Gustave  Munsch",9,0,9,1,28,"male","swiss"
"Joseph Muratori",9,0,9,1,46,"male","swiss"
"Annie Muriset",6,0,6,27,28,"female","swiss"
"Albert William James Mursell",7,0,7,83,16,"male","english"
"Reine Musfeld",9,0,9,11,47,"female","swiss"
"Jeanne Elisa Léonie Musitelli",9,0,9,14,27,"female","italian"
